time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-9.19902543812e-08,3.70453948291e-07,10.0045092023,0.000317161671749,6.28274873044,0.0,1.33208690276e-05,3.15414714002e-05,0.150298077619,0.0141823979846,-0.0286867323455,0.0,453.889641121015,451.58201514119645,451.84690040539857,452.98852600948146
0.12000000000000001,1.57180900383e-05,1.26490477295e-05,10.0160965232,0.00178365067857,6.28128941817,0.0,0.000671331055517,0.000498846203539,0.235931251004,0.0395817210432,-0.0167754949856,0.0,431.3221740237,432.3266515117124,431.8080334021838,433.9451245557537
0.18,9.41050432446e-05,8.32148491994e-05,10.0308801072,0.00379631530157,6.28023280118,0.0,0.00203465780898,0.00205514811266,0.256849476975,0.0173563498413,-0.0193343025798,0.0,410.2242896812008,409.99709236307746,413.0906438615125,411.1269694963196
0.23999999999999996,0.00028571858808,0.000294062584623,10.0505645977,0.00489467927566,6.27896654429,0.0,0.00448342954113,0.00508887627264,0.399259609374,0.0201407615415,-0.0249022319661,0.0,450.1635260844324,449.71283118708794,450.44388252409044,450.6688951953725
0.3,0.000677002465092,0.000739605803679,10.0840870151,0.00553483468415,6.27756736449,0.0,0.00875291005492,0.00990995466674,0.718007510502,-0.0260693007692,-0.0203291312006,0.0,501.10217802848484,501.43446195114944,503.9000504321132,500.548918529124
0.36000000000000004,0.001340048959,0.00145912814415,10.1333418038,0.00366790645792,6.27719733005,0.0,0.0134304767217,0.0138746225763,0.923675561122,-0.0438360523063,0.0129356134697,0.0,467.0922893034475,469.67900219333416,471.87792958793165,470.50427647127896
0.4200000000000001,0.00227019621813,0.00236015933593,10.192438827,0.00157551442658,6.27829690469,0.0,0.0174731997421,0.0159151889336,1.04612208236,-0.0212151829509,0.0273704911986,0.0,444.42266484583024,445.6040379555006,443.750740744939,445.6029150498619
0.48000000000000015,0.00341406010486,0.00334295361108,10.2584171094,0.0001882062367,6.28013392503,0.0,0.0204751727471,0.0167077466701,1.15305286773,-0.0272367400223,0.0364256530291,0.0,440.0751690271064,440.82429450175204,440.2134823235491,439.7149286973301
0.5400000000000001,0.00470414110938,0.00434307915143,10.3332200803,6.28201864597,6.2819167026,0.0,0.0222927249585,0.0164595951552,1.340179485,-0.0146012766597,0.0108312309091,0.0,466.7331205860015,464.73171729132423,463.8610242476292,464.8520802089557
0.6000000000000002,0.00607189138042,0.00529570537977,10.4221861056,6.28098964687,6.28241980129,0.0,0.0232232921544,0.0151726153159,1.62499456908,-0.0228084124795,0.0029784490836,0.0,493.4128797239665,492.8327373434233,494.7632159130763,494.15876551808645
0.6600000000000003,0.00748395858574,0.0061442321466,10.5274133081,6.27989292045,6.2823126043,0.0,0.0238379673818,0.0129597482406,1.882191621,-0.0104855041104,-0.0136108966656,0.0,487.1056165984067,485.8635921277078,486.4742377821042,487.39608978379385
0.7200000000000003,0.0089391606993,0.00683938377615,10.6469457352,6.2794952379,6.28126844073,0.0,0.0247781288277,0.0101529380003,2.1018450594,0.000145342489699,-0.0263350647585,0.0,476.66943787927187,475.6962168774956,476.7505647773693,477.562186878105
0.7800000000000004,0.0104799925905,0.00735815311498,10.7798767869,6.27926417185,6.27938546237,0.0,0.0267878942078,0.00712940976759,2.32875572027,-0.013365769836,-0.0441092099335,0.0,480.50270055845806,479.1531015543832,479.8087985564924,478.78207103511215
0.8400000000000004,0.0121724338844,0.00770462567855,10.9219195109,6.27807019982,6.27718381847,0.0,0.0298621461043,0.00432694026524,2.40584106025,-0.0380380925778,-0.0249317112358,0.0,434.21061602282884,435.81569485675135,435.72528479071633,433.6577597810767
0.9000000000000005,0.0140747901107,0.00786700057574,11.0662207631,6.27526969776,6.27549711934,0.0,0.033687337594,0.00087490221031,2.40420192907,-0.0758614703764,-0.0353801239123,0.0,409.81716308711594,408.887105867895,410.79490059886007,407.42520219544537
0.9600000000000005,0.0162725218483,0.00772755222295,11.214734938,6.27030050555,6.27281094238,0.0,0.0398096256007,-0.00602889096757,2.54595895378,-0.102749534068,-0.0805118656566,0.0,457.6194487614243,454.0111291822955,456.1325095604773,453.9744240916105
1.0200000000000005,0.0188836335623,0.00708898809489,11.3695752318,6.26425425285,6.26788109565,0.0,0.0477010533214,-0.0158490438312,2.6152134556,-0.0970840968509,-0.0856898137869,0.0,433.1785290390182,432.73720096309603,433.5756540590319,434.0423025174154
1.0800000000000005,0.0220714844704,0.0057366758854,11.5288798129,6.25819872135,6.26297314066,0.0,0.0590540224446,-0.0298106499228,2.69473386742,-0.109989246506,-0.07497875266,0.0,437.6183338725967,438.50340785168237,436.5782096369111,435.49098424903207
1.1400000000000006,0.0260168406453,0.00344748173312,11.692006041,6.25181610492,6.25853303864,0.0,0.0728769144216,-0.0471038030882,2.7426663086,-0.0999910934295,-0.0721169328619,0.0,427.23509286937934,427.47451068855474,426.85143374812907,427.6933311169119
1.2000000000000006,0.0308304917593,5.86664930574e-05,11.8562214442,6.24584020326,6.2541734274,0.0,0.0879503152545,-0.066369118756,2.73117920005,-0.0988248533312,-0.0737688184709,0.0,407.90378313540253,407.75162812912066,407.69224730397997,407.7869136386445
1.2600000000000007,0.0367649687231,-0.00477029455052,12.02444783,6.23969949096,6.2495523704,0.0,0.110345517644,-0.0952360374766,2.87597007189,-0.110519144463,-0.0844642378082,0.0,457.80470519204687,456.94832930579815,459.41913665025766,458.48216454977023
